ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-112316,Neuronal System,253/4728,408/11230,0.620098039215686,1.47286399754487,8.29656573280264,1.36541170605692e-16,2.30891119494225e-13,2.10560857828778e-13,SLITRK3/GRIK5/KCNB1/CACNA2D1/GNAI1/KCNV1/GLRB/GABRG3/KCNJ2/KCNK2/EPB41L3/GABRA5/KCNAB3/SLC32A1/PRKAA2/SHANK2/KCND2/CACNA2D2/CHRNA4/NRG1/GJD2/SLITRK5/CPLX1/KCNG2/SYT9/CACNA1A/APBA1/PRKAG2/CACNB2/KCNJ3/ADCY4/GRIA4/ACTN2/KCNK1/LRFN1/GRIN2D/SHANK1/KCNQ5/AP2A2/KCNG1/GRIN2A/KCNJ9/ADCY9/SLC6A3/PRKAR1B/PTPRS/GABRB3/HCN2/GRM1/RPS6KA2/HOMER3/KCNA4/GNB5/AP2S1/GRIK2/ARHGEF7/KCNQ1/SLC17A7/GRIK3/NRXN1/DNAJC5/VAMP2/PLCB2/GABRA6/CACNA2D3/SLC38A2/NCALD/HCN1/GNG4/RAC1/KCNK3/CREB1/KCND3/GNG7/KCNMA1/ABCC9/LRRTM3/DLGAP1/SNAP25/KCNB2/KCNJ12/KCNJ1/SLC22A2/NRXN3/NPTN/HTR3A/CHRNA6/KCNA6/GABRR2/KCNQ2/NLGN1/PRKCB/PLCB1/CACNG3/SLC6A13/GNB1/GNG10/RASGRF1/SLC5A7/DLG2/KCNC3/GNG5/PLCB3/CAMK2A/KCNK7/GRIK1/KCNC1/KCNK10/GABRB1/SRC/SYN2/SYT1/KCNV2/AP2B1/GNAL/APBA2/KCNAB1/KCNAB2/CAMK4/SLC1A2/PRKCA/PDLIM5/SIPA1L1/ADCY2/CACNA1B/KCNN3/KCNH1/CHRNB3/KRAS/GLS/PANX2/KCNMB2/GABBR1/LRFN4/GRIN1/CACNG2/GRIP1/ADCY3/EPB41L2/COMT/GNG2/RASGRF2/KCNA2/CAMKK1/CACNB1/GABBR2/CHRNA3/SLC38A1/CALM2/NSF/LRRTM2/LRRC4B/ADCY5/PPFIA1/GABRR1/PANX1/GJC1/NRXN2/PRKCG/CAMK2D/ABAT/ERBB4/KCNJ5/AP2M1/BEGAIN/SLITRK6/NLGN2/LRFN2/DLGAP4/KCNG3/PRKACB/KCNS3/SLC1A6/SLC6A1/IL1RAP/SYT10/PICK1/ARL6IP5/NEFL/LIN7C/CAMKK2/KCNH5/ADCY1/SLC1A7/CAMK2B/HOMER2/UNC13B/KCNK17/SYT2/GAD2/DLG4/KCNH2/RAB3A/NBEA/KCNN1/GNG12/GIT1/KCNMB3/GNAI3/CHRNA1/KCNJ15/KCNH8/KCNK13/LIN7B/ADCY6/CACNA1E/SLC6A12/PTPRD/LRRTM4/GLRA1/TUBB6/PPFIA3/KCNN2/CHRNB2/GRIK4/KCNA3/HSPA8/PPFIBP1/GNAT3/PRKACA/GRIP2/TUBA3C/GRIN3B/PRKAR2B/TUBB3/RIMS1/PPFIA2/SLC1A3/SLC22A1/PRKAB2/HRAS/APBA3/KIF17/HOMER1/PPFIBP2/KCNH7/GAD1/CACNB4/CHRNA9/ADCY7/PPM1E/GLRA3/EPB41L5/CAMK2G/SLC1A1/PPFIA4/KCNJ16/TUBAL3/SYT12/SYT7/HTR3B/ACHE/SHANK3,253
R-HSA-112315,Transmission across Chemical Synapses,163/4728,271/11230,0.601476014760148,1.42863275079451,6.09074371326057,1.10463013663713e-09,9.33964780526695e-07,8.51727973775473e-07,GRIK5/CACNA2D1/GNAI1/GLRB/GABRG3/KCNJ2/GABRA5/SLC32A1/PRKAA2/CACNA2D2/CHRNA4/NRG1/CPLX1/CACNA1A/APBA1/PRKAG2/CACNB2/KCNJ3/ADCY4/GRIA4/ACTN2/GRIN2D/AP2A2/GRIN2A/KCNJ9/ADCY9/SLC6A3/PRKAR1B/GABRB3/RPS6KA2/GNB5/AP2S1/GRIK2/ARHGEF7/SLC17A7/GRIK3/DNAJC5/VAMP2/PLCB2/GABRA6/CACNA2D3/SLC38A2/NCALD/GNG4/RAC1/CREB1/GNG7/SNAP25/KCNJ12/SLC22A2/NPTN/HTR3A/CHRNA6/GABRR2/PRKCB/PLCB1/CACNG3/SLC6A13/GNB1/GNG10/RASGRF1/SLC5A7/DLG2/GNG5/PLCB3/CAMK2A/GRIK1/GABRB1/SRC/SYN2/SYT1/AP2B1/GNAL/CAMK4/SLC1A2/PRKCA/ADCY2/CACNA1B/CHRNB3/KRAS/GLS/GABBR1/GRIN1/CACNG2/GRIP1/ADCY3/COMT/GNG2/RASGRF2/CAMKK1/CACNB1/GABBR2/CHRNA3/SLC38A1/CALM2/NSF/ADCY5/PPFIA1/GABRR1/PRKCG/CAMK2D/ABAT/ERBB4/KCNJ5/AP2M1/PRKACB/SLC1A6/SLC6A1/PICK1/ARL6IP5/NEFL/LIN7C/CAMKK2/ADCY1/SLC1A7/CAMK2B/UNC13B/GAD2/DLG4/RAB3A/NBEA/GNG12/GIT1/GNAI3/CHRNA1/KCNJ15/LIN7B/ADCY6/CACNA1E/SLC6A12/GLRA1/TUBB6/PPFIA3/CHRNB2/GRIK4/HSPA8/GNAT3/PRKACA/GRIP2/TUBA3C/GRIN3B/PRKAR2B/TUBB3/RIMS1/PPFIA2/SLC1A3/SLC22A1/PRKAB2/HRAS/KIF17/GAD1/CACNB4/CHRNA9/ADCY7/PPM1E/GLRA3/CAMK2G/SLC1A1/PPFIA4/KCNJ16/TUBAL3/HTR3B/ACHE,163
R-HSA-1474244,Extracellular matrix organization,180/4728,318/11230,0.566037735849057,1.34445934297481,5.31355453768504,9.17645558385874e-08,5.17246213076838e-05,4.71702015100107e-05,LAMA1/KDR/COL23A1/FBN2/ADAMTS16/NID1/COL4A1/COL4A2/COL9A2/AGRN/ICAM5/TLL2/CAPN3/SNTG2/COL5A1/COL6A6/BMP4/COL22A1/SPOCK3/COL18A1/COL6A2/TNXB/HTRA1/PTPRS/MATN1/COL24A1/PDGFA/COL14A1/DMP1/MATN4/DDR1/SGCD/ELANE/TNC/NRXN1/PDGFB/ACAN/COL1A2/COL11A2/ITGA6/BSG/NCAM1/CAPNS2/PXDN/COL25A1/PLOD2/COL28A1/ADAM10/COL5A3/MMP20/ADAM9/SGCZ/UTRN/ITGB5/CAPN7/ACTA2/DTNB/COL12A1/LAMB3/TIMP2/TNR/JAM3/CAST/COL20A1/DST/ITGAE/MMP16/CD47/SNTB1/A2M/PRKCA/ADAM12/LTBP3/ITGA10/COL6A3/COL6A1/KLKB1/P4HA2/MMP14/LAMA5/CAPN9/LOX/MMP13/CAPN5/FN1/SDC2/FGG/COL9A3/ITGB1/LAMA2/ITGAX/ADAMTS2/F11R/LTBP1/EFEMP1/ADAMTS5/LAMA4/LOXL2/ITGB6/SH3PXD2A/LAMC1/PECAM1/COL15A1/COL9A1/THBS1/ADAMTS3/NCSTN/CTSK/SGCB/NTN4/ITGAV/ADAMTS14/JAM2/LAMB1/IBSP/FGB/BMP10/SNTB2/COL17A1/TLL1/ITGA3/DDR2/COL5A2/ITGA2/ACTC1/MUSK/LTBP4/ADAMTS18/HAPLN1/NID2/CAPN8/FBN1/DCN/LTBP2/P4HA1/ITGB8/P4HA3/CAPN2/COL19A1/MMP7/MADCAM1/DSPP/BCAN/SPP1/MFAP5/HSPG2/PSEN1/DAG1/ITGB2/CTSD/SCUBE1/EMILIN2/VWF/ACTN1/SGCA/LAMC2/LOXL3/SGCE/ITGA9/MMP17/TGFB3/CTRB1/MMP15/ITGA7/MFAP2/SDC3/SDC4/TNN/COL11A1/ITGB4/COL27A1/FGF2/LOXL1/EMILIN1/FBLN1/ADAM8/COL4A3/CD151/FBLN2/ITGA8,180
R-HSA-5576891,Cardiac conduction,85/4728,132/11230,0.643939393939394,1.52949225760139,5.21807133259184,1.74365180793638e-07,7.37128801805103e-05,6.72223657533366e-05,FGF12/KCNJ2/KCNK2/KCND2/CACNA2D2/HIPK2/CACNG6/CACNB2/NOS1/KCNK1/ATP2B2/KCNIP4/KCNQ1/SLC8A1/ATP2B1/GATA4/KCNK3/WWTR1/SCN4A/KCND3/ABCC9/HIPK1/KCNJ12/CACNA1C/ATP2A3/CAMK2A/KCNK7/KCNE1/KCNK10/ATP1A4/TRPC1/CACNG7/CES1/DMPK/ITPR1/AHCYL1/ITPR2/CASQ2/CACNB1/SCN2A/CALM2/FXYD7/RANGRF/TRDN/FGF14/RYR1/KCNE2/ASPH/CAMK2D/KCNIP1/CORIN/ITPR3/MME/SLN/ATP1A1/RYR2/SCN4B/TNNI3/RYR3/CAMK2B/KCNK17/STIM1/KCNH2/KCNK13/SCN9A/SCN10A/KCNK12/PRKACA/AKAP9/KCNK15/ATP2A2/SLC8A2/SCN5A/SCN2B/ATP1A2/CAMK2G/KCNIP3/SCN1A/ORAI2/SCN7A/FXYD1/FXYD6/SLC8A3/NPR1/SCN8A,85
R-HSA-397014,Muscle contraction,122/4728,205/11230,0.595121951219512,1.41354050596344,5.09555482280723,3.09850107597735e-07,0.000104791306389554,9.55642963433015e-05,FGF12/KCNJ2/KCNK2/KCND2/CACNA2D2/HIPK2/PAK2/CACNG6/CACNB2/ACTN2/NOS1/KCNK1/ATP2B2/CACNA1H/KCNIP4/VCL/KCNQ1/SLC8A1/ATP2B1/GATA4/KCNK3/WWTR1/SCN4A/NEB/KCND3/MYL9/ABCC9/ACTN3/HIPK1/KCNJ12/CALD1/ITGB5/MYL10/PAK1/ACTA2/MYLK/CACNA1C/PDE5A/ATP2A3/PXN/CAMK2A/KCNK7/KCNE1/KCNK10/GUCY1A2/ATP1A4/LMOD1/SORBS1/TNNT1/TRPC1/CACNG7/CES1/DMPK/ITPR1/AHCYL1/TNNT3/ITPR2/CASQ2/CACNB1/VIM/SCN2A/TTN/CALM2/MYH8/FXYD7/RANGRF/TRDN/FGF14/RYR1/KCNE2/ASPH/MYBPC1/CAMK2D/KCNIP1/CORIN/ITPR3/MME/SLN/ATP1A1/CACNA1G/MYL1/RYR2/SCN4B/TNNI3/RYR3/CACNA1I/CAMK2B/TPM1/KCNK17/STIM1/KCNH2/ACTC1/MYL5/KCNK13/SCN9A/MYH6/SCN10A/KCNK12/PRKACA/AKAP9/KCNK15/MYBPC3/TNNT2/ATP2A2/SLC8A2/MYH11/SCN5A/SCN2B/MYH3/ATP1A2/CAMK2G/KCNIP3/SCN1A/ORAI2/SCN7A/FXYD1/FXYD6/SLC8A3/TNNI2/DYSF/NPR1/SCN8A,122
R-HSA-112040,G-protein mediated events,41/4728,56/11230,0.732142857142857,1.73899413826444,4.72733594042571,2.23667501796566e-06,0.000609932704127732,0.000556227340749558,GNAI1/ADCY4/ADCY9/PRKAR1B/PLCB2/PDE1B/CREB1/PLA2G4A/PLCB1/PLCB3/CAMK2A/GNAL/CAMK4/PRKCA/ADCY2/ADCY3/ITPR1/AHCYL1/ITPR2/CAMKK1/CALM2/ADCY5/PRKCG/CAMK2D/GNA11/ITPR3/PRKACB/PDE1A/CAMKK2/ADCY1/CAMK2B/NBEA/GNAI3/ADCY6/GNAT3/PRKACA/PRKAR2B/ADCY7/PLCB4/CAMK2G/PDE1C,41
R-HSA-6794362,Protein-protein interactions at synapses,56/4728,83/11230,0.674698795180723,1.60255234134508,4.69829861472338,2.52485448190072e-06,0.000609932704127732,0.000556227340749558,SLITRK3/EPB41L3/SHANK2/SLITRK5/SYT9/APBA1/GRIA4/LRFN1/GRIN2D/SHANK1/GRIN2A/PTPRS/GRM1/HOMER3/NRXN1/LRRTM3/DLGAP1/NRXN3/NLGN1/DLG2/SYT1/APBA2/PDLIM5/SIPA1L1/LRFN4/GRIN1/EPB41L2/LRRTM2/LRRC4B/PPFIA1/NRXN2/BEGAIN/SLITRK6/NLGN2/LRFN2/DLGAP4/IL1RAP/SYT10/LIN7C/HOMER2/SYT2/DLG4/LIN7B/PTPRD/LRRTM4/PPFIA3/PPFIBP1/PPFIA2/APBA3/HOMER1/PPFIBP2/EPB41L5/PPFIA4/SYT12/SYT7/SHANK3,56
R-HSA-6794361,Neurexins and neuroligins,39/4728,54/11230,0.722222222222222,1.7154305320549,4.4937297015732,6.87740266595116e-06,0.00145371098851543,0.00132570985600243,EPB41L3/SHANK2/SYT9/APBA1/GRIN2D/SHANK1/GRIN2A/GRM1/HOMER3/NRXN1/LRRTM3/DLGAP1/NRXN3/NLGN1/DLG2/SYT1/APBA2/PDLIM5/SIPA1L1/GRIN1/EPB41L2/LRRTM2/NRXN2/BEGAIN/NLGN2/DLGAP4/SYT10/LIN7C/HOMER2/SYT2/DLG4/LIN7B/LRRTM4/APBA3/HOMER1/EPB41L5/SYT12/SYT7/SHANK3,39
R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,235/4728,452/11230,0.519911504424779,1.23489978737104,4.34678884331394,9.75520644586024e-06,0.00160150360316442,0.00146048913980259,NEURL1B/DKK2/NOX4/SMAD2/HEYL/PDGFRA/FGF17/SQSTM1/KDR/TWIST1/IRS2/KLB/NRG1/ATG7/DUSP8/PIK3CD/FGF8/ZAP70/NCOR2/KREMEN2/FGF19/TCF7L2/HDAC4/LCK/FZD5/TGFBR2/TSC2/TBL1XR1/PDGFA/RNF213/CUX1/IRS1/PIK3AP1/SPRED2/VCL/PSMD1/POLR2A/MAPK9/PDGFB/KANK1/MTOR/MET/ETV6/FGFR2/QKI/AKT3/PSMC6/RAC1/OS9/PSMA1/CREB1/ADAM10/PPP2R5C/SPRED1/NF1/MIB1/PIK3R6/PIK3R1/POLR2E/AXIN1/TRIM24/EP300/FOXO3/DUSP7/TFG/NRG3/ESR1/BCL2L11/CPSF6/AGTRAP/HDAC9/TRAK1/RB1/PDGFRB/APH1B/DUSP16/MYH9/GRB2/CTBP1/MAP2K1/ZMYM2/CDKN1A/CAMK2A/LRP5/TGFA/FLT3/EPGN/POLR2G/SRC/SHOC2/SND1/PSMD11/PPP2R1B/HIP1/CSNK1A1/RBPJ/FZD8/EML4/ERLEC1/APC/IL22/FRS2/MAPK8/ICOS/KIAA1549/KRAS/FYN/MAML2/CCNB1/NOTCH1/SPTBN1/PIK3R3/CDK8/CTBP2/CLIP1/VAV1/KLC1/NCOR1/FOXO1/FIP1L1/CCNC/HEY2/GOLGA4/ZFYVE9/RPS27A/PSMB1/KAT2A/CREBBP/KIF5B/MAML1/CALM2/FGFR3/FN1/DLL1/FGF18/FGG/HHAT/GAB2/SMAD3/EGFR/STAT1/POLR2B/ESR2/PSMB2/LRRFIP1/ERBB2/CAMK2D/ERBB4/STRN/CUL1/KITLG/CLTC/ZC3HAV1/BRAF/CASP9/NCSTN/WDR48/RICTOR/FGFR1/ALK/SMAD4/POLR2K/AKT1/RRBP1/MAML3/PPP2CA/PPP2R5A/ZC3HC1/BCL11A/MIB2/FGF7/CD80/NCBP2/FGB/TNRC6C/CAMK2B/JAG2/LRP6/DERL2/EEF1G/AP3B1/GOLGB1/EGF/KSR1/PPP1CC/SPRED3/DHH/JAK2/PSMA2/PSMD13/PEBP1/CTNNB1/BDNF/FGF1/NTF3/GAB1/LYN/LMO7/CSK/FBXW7/PSMC3/PPFIBP1/AKAP9/TNKS/HSP90AA1/RAP1A/EREG/FGF6/SEC31A/AKT1S1/STAT3/DNMT1/PIK3R2/ADRM1/HRAS/PSEN1/TGFBR1/KSR2/PIK3CG/VWF/FAM114A2/PAPSS1/MPRIP/CNKSR1/CAMK2G/FGF22/AGK/GTF2F2/SOS1/FRS3/HGF/MYO18A/FGF2/FGFR4/TYK2,235
R-HSA-112043,PLC beta mediated events,37/4728,51/11230,0.725490196078431,1.72319266115922,4.41390937974784,9.98604135380729e-06,0.00160150360316442,0.00146048913980259,ADCY4/ADCY9/PRKAR1B/PLCB2/PDE1B/CREB1/PLA2G4A/PLCB1/PLCB3/CAMK2A/CAMK4/PRKCA/ADCY2/ADCY3/ITPR1/AHCYL1/ITPR2/CAMKK1/CALM2/ADCY5/PRKCG/CAMK2D/GNA11/ITPR3/PRKACB/PDE1A/CAMKK2/ADCY1/CAMK2B/NBEA/ADCY6/PRKACA/PRKAR2B/ADCY7/PLCB4/CAMK2G/PDE1C,37
R-HSA-3000171,Non-integrin membrane-ECM interactions,53/4728,80/11230,0.6625,1.57357762267343,4.39021259822774,1.06225657953138e-05,0.00160150360316442,0.00146048913980259,LAMA1/COL4A1/COL4A2/AGRN/SNTG2/COL5A1/PDGFA/DDR1/SGCD/TNC/NRXN1/PDGFB/COL1A2/COL11A2/ITGA6/COL5A3/SGCZ/UTRN/ITGB5/ACTA2/DTNB/LAMB3/SNTB1/PRKCA/LAMA5/FN1/SDC2/ITGB1/LAMA2/LAMA4/LAMC1/THBS1/SGCB/NTN4/ITGAV/LAMB1/SNTB2/DDR2/COL5A2/ITGA2/ACTC1/HSPG2/DAG1/ACTN1/SGCA/LAMC2/SGCE/SDC3/SDC4/COL11A1/ITGB4/FGF2/COL4A3,53
R-HSA-112314,Neurotransmitter receptors and postsynaptic signal transmission,117/4728,206/11230,0.567961165048544,1.34902789414026,4.31131680689821,1.29062779882859e-05,0.00160150360316442,0.00146048913980259,GRIK5/GNAI1/GLRB/GABRG3/KCNJ2/GABRA5/PRKAA2/CHRNA4/NRG1/APBA1/PRKAG2/KCNJ3/ADCY4/GRIA4/ACTN2/GRIN2D/AP2A2/GRIN2A/KCNJ9/ADCY9/PRKAR1B/GABRB3/RPS6KA2/GNB5/AP2S1/GRIK2/ARHGEF7/GRIK3/PLCB2/GABRA6/NCALD/GNG4/RAC1/CREB1/GNG7/KCNJ12/NPTN/HTR3A/CHRNA6/GABRR2/PRKCB/PLCB1/CACNG3/GNB1/GNG10/RASGRF1/DLG2/GNG5/PLCB3/CAMK2A/GRIK1/GABRB1/SRC/AP2B1/GNAL/CAMK4/PRKCA/ADCY2/CHRNB3/KRAS/GABBR1/GRIN1/CACNG2/GRIP1/ADCY3/GNG2/RASGRF2/CAMKK1/GABBR2/CHRNA3/CALM2/NSF/ADCY5/GABRR1/PRKCG/CAMK2D/ERBB4/KCNJ5/AP2M1/PRKACB/PICK1/NEFL/LIN7C/CAMKK2/ADCY1/CAMK2B/DLG4/NBEA/GNG12/GIT1/GNAI3/CHRNA1/KCNJ15/LIN7B/ADCY6/GLRA1/TUBB6/CHRNB2/GRIK4/GNAT3/PRKACA/GRIP2/TUBA3C/GRIN3B/PRKAR2B/TUBB3/PRKAB2/HRAS/KIF17/CHRNA9/ADCY7/PPM1E/GLRA3/CAMK2G/KCNJ16/TUBAL3/HTR3B,117
R-HSA-2219530,Constitutive Signaling by Aberrant PI3K in Cancer,56/4728,86/11230,0.651162790697675,1.5466493526935,4.33933624969811,1.31899212900298e-05,0.00160150360316442,0.00146048913980259,PDGFRA/FGF17/IRS2/KLB/NRG1/PIK3CD/FGF8/FGF19/LCK/PDGFA/IRS1/PIK3AP1/PDGFB/MET/FGFR2/RAC1/PIK3R6/PIK3R1/NRG3/ESR1/PDGFRB/GRB2/TGFA/FLT3/EPGN/SRC/FRS2/ICOS/FYN/PIK3R3/VAV1/FGFR3/FGF18/GAB2/EGFR/ESR2/ERBB2/ERBB4/STRN/KITLG/FGFR1/FGF7/CD80/EGF/BDNF/FGF1/NTF3/GAB1/EREG/FGF6/PIK3R2/PIK3CG/FGF22/HGF/FGF2/FGFR4,56
R-HSA-8875878,MET promotes cell motility,31/4728,41/11230,0.75609756097561,1.79589162642895,4.35347464289568,1.32590481633955e-05,0.00160150360316442,0.00146048913980259,LAMA1/RAPGEF1/COL5A1/COL24A1/MET/COL1A2/COL11A2/RAC1/COL5A3/LAMB3/DOCK7/GRB2/SRC/TNS3/LAMA5/FN1/ITGB1/LAMA2/LAMA4/LAMC1/LAMB1/ITGA3/PTK2/COL5A2/ITGA2/GAB1/RAP1A/LAMC2/COL11A1/HGF/COL27A1,31
R-HSA-111885,Opioid Signalling,59/4728,92/11230,0.641304347826087,1.52323346575443,4.29706192781057,1.57261881790158e-05,0.00167951259814403,0.00153162934189113,GNAI1/PDE4B/PDE4A/ADCY4/ADCY9/PRKAR1B/GNB5/PLCB2/GNG4/PDE1B/CREB1/GNG7/PLA2G4A/PLCB1/GNB1/GNG10/PDE4D/GNG5/PLCB3/CAMK2A/PPP2R1B/GNAL/CAMK4/POMC/PRKCA/OPRM1/ADCY2/ADCY3/ITPR1/AHCYL1/GNG2/ITPR2/CAMKK1/PPP1R1B/CALM2/PPP3CA/ADCY5/PRKCG/CAMK2D/GNA11/ITPR3/PRKACB/PDE1A/PPP2CA/CAMKK2/ADCY1/CAMK2B/NBEA/GNG12/GNAI3/ADCY6/PPP3CB/GNAT3/PRKACA/PRKAR2B/ADCY7/PLCB4/CAMK2G/PDE1C,59
R-HSA-9006925,Intracellular signaling by second messengers,164/4728,304/11230,0.539473684210526,1.28136410187906,4.2409257872395,1.64603771243132e-05,0.00167951259814403,0.00153162934189113,PDGFRA/FGF17/IRS2/KLB/NRG1/RPTOR/PIK3CD/FGF8/MTA2/FGF19/ADCY4/LCK/ADCY9/TSC2/PRKAR1B/TRIM27/SALL4/PDGFA/CSNK2A1/SCMH1/IRS1/PIK3AP1/TNRC6A/PSMD1/SUZ12/PDGFB/MTOR/MET/WWP2/USP7/KDM1A/FGFR2/AKT3/PDE1B/PSMC6/RAC1/PRKCE/PSMA1/CREB1/PPP2R5C/PIK3R6/PIK3R1/FOXO3/NRG3/BMI1/ESR1/SGK1/PIP4K2A/PDGFRB/GRB2/PHLPP1/CDKN1A/CAMK2A/EGR1/TGFA/FLT3/EPGN/PHC3/SRC/PSMD11/PPP2R1B/PHC2/CAMK4/CBX4/PRKCA/FRS2/ICOS/MTA1/ADCY2/PIP5K1C/FYN/GATAD2A/MTA3/ADCY3/PIK3R3/VAV1/USP13/FOXO1/ITPR1/AHCYL1/ITPR2/RHEB/CAMKK1/RPS27A/RING1/PSMB1/CALM2/FGFR3/FGF18/GAB2/EGFR/PHLPP2/ESR2/SNAI2/ADCY5/PSMB2/MECOM/PRKCG/ERBB2/NR2E1/CAMK2D/ERBB4/STRN/KITLG/ITPR3/CHD4/PPARG/CASP9/FRK/PRKACB/PDE1A/RICTOR/FGFR1/IL1RAP/AKT1/SLC38A9/MKRN1/PPP2CA/PPP2R5A/FGF7/CAMKK2/CD80/ADCY1/TNRC6C/RNF146/CAMK2B/EGF/RNF2/PSMA2/PSMD13/NBEA/PIP5K1B/RBBP4/BDNF/FGF1/ADCY6/NTF3/GAB1/TRAF6/CHD3/TRIB3/PSMC3/OTUD3/PRKACA/TNKS/THEM4/PRKAR2B/EREG/FGF6/INSR/AKT1S1/PIK3R2/NEDD4/ADRM1/PIK3CG/ADCY7/CAMK2G/PDE1C/FGF22/HGF/RRAGD/FGF2/FGFR4/CBX2,164
R-HSA-1489509,DAG and IP3 signaling,32/4728,43/11230,0.744186046511628,1.76759926022115,4.30029004270195,1.68845145880831e-05,0.00167951259814403,0.00153162934189113,ADCY4/ADCY9/PRKAR1B/PDE1B/PRKCE/CREB1/CAMK2A/CAMK4/PRKCA/ADCY2/ADCY3/ITPR1/AHCYL1/ITPR2/CAMKK1/CALM2/ADCY5/PRKCG/CAMK2D/ITPR3/PRKACB/PDE1A/CAMKK2/ADCY1/CAMK2B/NBEA/ADCY6/PRKACA/PRKAR2B/ADCY7/CAMK2G/PDE1C,32
R-HSA-375165,NCAM signaling for neurite out-growth,43/4728,63/11230,0.682539682539683,1.62117610721672,4.21601892515954,2.36703560511361e-05,0.0021368758045355,0.00194872112648667,COL4A1/COL4A2/COL9A2/ARTN/AGRN/SPTBN4/CACNB2/COL5A1/COL6A6/COL6A2/ST8SIA2/CACNA1H/SPTB/NCAM1/CREB1/COL5A3/SPTBN2/CACNA1C/GRB2/SRC/KRAS/FYN/SPTBN1/COL6A3/COL6A1/CACNB1/COL9A3/COL9A1/CACNA1G/FGFR1/CACNA1I/PTK2/COL5A2/CACNA1D/GFRA1/PRNP/SPTBN5/NRTN/HRAS/CACNB4/SPTA1/SOS1/COL4A3,43
R-HSA-3000178,ECM proteoglycans,50/4728,76/11230,0.657894736842105,1.562639148633,4.19669314574169,2.50429884736335e-05,0.0021368758045355,0.00194872112648667,LAMA1/COL4A1/COL4A2/COL9A2/AGRN/COL5A1/COL6A6/COL6A2/TNXB/PTPRS/MATN1/DMP1/MATN4/TNC/ACAN/COL1A2/NCAM1/COL5A3/ITGB5/TNR/COL6A3/COL6A1/LAMA5/FN1/COL9A3/ITGB1/LAMA2/ITGAX/LAMA4/ITGB6/LAMC1/COL9A1/ITGAV/LAMB1/IBSP/COL5A2/ITGA2/MUSK/HAPLN1/DCN/DSPP/BCAN/HSPG2/DAG1/ITGA9/TGFB3/ITGA7/TNN/COL4A3/ITGA8,50
R-HSA-8874081,MET activates PTK2 signaling,24/4728,30/11230,0.8,1.90016920473773,4.20980092992277,2.52735163162094e-05,0.0021368758045355,0.00194872112648667,LAMA1/COL5A1/COL24A1/MET/COL1A2/COL11A2/COL5A3/LAMB3/SRC/LAMA5/FN1/ITGB1/LAMA2/LAMA4/LAMC1/LAMB1/ITGA3/PTK2/COL5A2/ITGA2/LAMC2/COL11A1/HGF/COL27A1,24
R-HSA-373752,Netrin-1 signaling,31/4728,42/11230,0.738095238095238,1.75313230199017,4.16970647071174,3.02039484294329e-05,0.00243213699019862,0.00221798418291324,UNC5D/DOCK1/SLIT2/MYO10/TRIO/TRPC3/WASL/RGMA/RAC1/AGAP2/ROBO1/SRC/NEO1/ABLIM1/UNC5A/ABLIM2/TRPC1/FYN/DSCAML1/SLIT3/DSCAM/NTN1/RGMB/SIAH1/NTN4/TRPC4/UNC5C/PITPNA/PTK2/SLIT1/EZR,31
R-HSA-112310,Neurotransmitter release cycle,36/4728,51/11230,0.705882352941177,1.67661988653329,4.12965869828663,3.52606626930717e-05,0.0027102627551811,0.00247162061461005,SLC32A1/CPLX1/APBA1/SLC17A7/DNAJC5/VAMP2/SLC38A2/SNAP25/SLC22A2/SLC6A13/SLC5A7/SYN2/SYT1/SLC1A2/GLS/PPFIA1/ABAT/SLC1A6/SLC6A1/ARL6IP5/LIN7C/SLC1A7/UNC13B/GAD2/RAB3A/LIN7B/SLC6A12/PPFIA3/HSPA8/RIMS1/PPFIA2/SLC1A3/SLC22A1/GAD1/SLC1A1/PPFIA4,36
R-HSA-210500,Glutamate Neurotransmitter Release Cycle,20/4728,24/11230,0.833333333333333,1.97934292160181,4.09544306548577,4.14414689074196e-05,0.00304684886619333,0.00277856988326635,CPLX1/SLC17A7/VAMP2/SLC38A2/SNAP25/SYT1/SLC1A2/GLS/PPFIA1/SLC1A6/ARL6IP5/SLC1A7/UNC13B/RAB3A/PPFIA3/RIMS1/PPFIA2/SLC1A3/SLC1A1/PPFIA4,20
R-HSA-199418,Negative regulation of the PI3K/AKT network,72/4728,121/11230,0.59504132231405,1.41334899525947,3.89814401936593,7.95172472038479e-05,0.00560265270923778,0.00510933189270338,PDGFRA/FGF17/IRS2/KLB/NRG1/PIK3CD/FGF8/FGF19/LCK/PDGFA/IRS1/PIK3AP1/PDGFB/MET/FGFR2/AKT3/RAC1/PPP2R5C/PIK3R6/PIK3R1/NRG3/ESR1/PIP4K2A/PDGFRB/GRB2/PHLPP1/TGFA/FLT3/EPGN/SRC/PPP2R1B/FRS2/ICOS/PIP5K1C/FYN/PIK3R3/VAV1/FGFR3/FGF18/GAB2/EGFR/PHLPP2/ESR2/ERBB2/ERBB4/STRN/KITLG/FGFR1/IL1RAP/AKT1/PPP2CA/PPP2R5A/FGF7/CD80/EGF/PIP5K1B/BDNF/FGF1/NTF3/GAB1/TRAF6/TRIB3/THEM4/EREG/FGF6/INSR/PIK3R2/PIK3CG/FGF22/HGF/FGF2/FGFR4,72
